LHD,Period,Per cent,LL 95% CI,UL 95% CI
Murrumbidgee LHD,2017,5.8,3.3,8.2
Murrumbidgee LHD,2018,6.4,4,8.7
Murrumbidgee LHD,2019,4.6,2.3,6.9
Murrumbidgee LHD,2020,7.6,3.4,11.9
Murrumbidgee LHD,2021,4.3,2.5,6.1
Murrumbidgee LHD,2022,4.7,2,7.3
Murrumbidgee LHD,2023,4.3,2.4,6.2
Western NSW LHD,2002,7.6,6.3,9
Western NSW LHD,2003,8.2,6.8,9.6
Western NSW LHD,2004,9,7.4,10.6
Western NSW LHD,2005,6.5,5.2,7.8
Western NSW LHD,2006,9.5,7.6,11.4
Western NSW LHD,2007,10.8,8.5,13.2
Western NSW LHD,2008,7.5,5.8,9.2
Western NSW LHD,2009,11.6,9.5,13.7
Western NSW LHD,2010,8.7,6.9,10.6
Western NSW LHD,2011,8.3,6.3,10.4
Western NSW LHD,2012,9.3,6.7,11.9
Western NSW LHD,2013,8.7,6.1,11.2
Western NSW LHD,2014,8.6,5.7,11.4
Western NSW LHD,2015,7.9,5.2,10.7
Western NSW LHD,2016,6.8,4.6,9
Western NSW LHD,2017,7.3,4.8,9.9
Western NSW LHD,2018,5,2.9,7.2
Western NSW LHD,2019,6.4,3,9.8
Western NSW LHD,2020,4.8,2.1,7.6
Western NSW LHD,2021,5.6,3.1,8
Western NSW LHD,2022,3.4,1.6,5.1
Western NSW LHD,2023,4.2,2.1,6.3
Far West LHD,2002,6.2,3.9,8.4
Far West LHD,2003,8.4,5.9,10.9
Far West LHD,2004,8.6,6,11.3
Far West LHD,2005,7.7,0.9,14.5
Far West LHD,2006,12.1,5.8,18.3
Far West LHD,2007,11.4,5,17.9
Far West LHD,2008,9.4,4,14.8
Far West LHD,2009,10.8,3,18.6
Far West LHD,2010,7.5,1.9,13
Far West LHD,2011,8.2,6.2,10.2
Far West LHD,2012,6,4,8.1
Far West LHD,2013,8.8,3.8,13.8
Far West LHD,2014,8.2,5.1,11.2
Far West LHD,2015,8.3,4.7,12
Far West LHD,2016,4.1,2.3,5.9
Far West LHD,2017,7,3.1,10.9
Far West LHD,2018,4.6,1.7,7.6
Far West LHD,2019,7.6,2.7,12.5
Far West LHD,2020,6.7,2.6,10.8
Far West LHD,2021,5.7,0.6,10.8
Far West LHD,2022,5.2,2.3,8.2
Far West LHD,2023,4,0.9,7
All LHDs,2002,6.5,6,7
All LHDs,2003,8.2,7.6,8.7
All LHDs,2004,7.1,6.4,7.7
All LHDs,2005,6.3,5.8,6.7
All LHDs,2006,7.9,7.2,8.5
All LHDs,2007,9.2,8.4,10
All LHDs,2008,8.1,7.5,8.8
All LHDs,2009,8.3,7.7,9
All LHDs,2010,7.3,6.7,7.9
All LHDs,2011,6.8,6.2,7.4
All LHDs,2012,7.6,6.7,8.5
All LHDs,2013,7.5,6.9,8.2
All LHDs,2014,7.4,6.7,8
All LHDs,2015,5.8,5.2,6.5
All LHDs,2016,6.7,6.1,7.3
All LHDs,2017,6.6,6,7.3
All LHDs,2018,5.9,5.2,6.6
All LHDs,2019,6.3,5.5,7.1
All LHDs,2020,5.9,5.2,6.7
All LHDs,2021,5.4,4.8,6
All LHDs,2022,4.4,3.9,4.9
All LHDs,2023,5.3,4.7,5.9
